Elevation_Band_m,Sample_Proportion,National_Proportion,Sample_Count,National_Count
50,0.48863636363636365,0.7785,43,7785
150,0.20454545454545456,0.1142,18,1142
250,0.07954545454545454,0.0295,7,295
350,0.011363636363636364,0.0127,1,127
450,0.045454545454545456,0.0119,4,119
550,0.056818181818181816,0.0106,5,106
650,0.011363636363636364,0.0066,1,66
750,0.011363636363636364,0.0047,1,47
850,0.022727272727272728,0.0063,2,63
1350,0.011363636363636364,0.0024,1,24
1450,0.022727272727272728,0.0018,2,18
1550,0.011363636363636364,0.0011,1,11
1850,0.011363636363636364,0.0013,1,13
2150,0.011363636363636364,4e-4,1,4
