x,y,n_samples,density_per_1000km2
398278.19298722834,690055.0639261815,2,0.8
398278.19298722834,740055.0639261815,1,0.4
398278.19298722834,790055.0639261815,4,1.6
398278.19298722834,840055.0639261815,0,0
398278.19298722834,890055.0639261815,7,2.8
398278.19298722834,940055.0639261815,0,0
398278.19298722834,990055.0639261815,0,0
398278.19298722834,1040055.0639261815,1,0.4
448278.19298722834,690055.0639261815,5,2
448278.19298722834,740055.0639261815,3,1.2
448278.19298722834,790055.0639261815,8,3.2
448278.19298722834,840055.0639261815,4,1.6
448278.19298722834,890055.0639261815,5,2
448278.19298722834,940055.0639261815,3,1.2
448278.19298722834,990055.0639261815,2,0.8
448278.19298722834,1040055.0639261815,2,0.8
498278.19298722834,690055.0639261815,7,2.8
498278.19298722834,740055.0639261815,7,2.8
498278.19298722834,790055.0639261815,8,3.2
498278.19298722834,840055.0639261815,5,2
498278.19298722834,890055.0639261815,2,0.8
498278.19298722834,940055.0639261815,0,0
498278.19298722834,990055.0639261815,0,0
498278.19298722834,1040055.0639261815,0,0
548278.1929872283,690055.0639261815,0,0
548278.1929872283,740055.0639261815,2,0.8
548278.1929872283,790055.0639261815,1,0.4
548278.1929872283,840055.0639261815,2,0.8
548278.1929872283,890055.0639261815,0,0
548278.1929872283,940055.0639261815,1,0.4
548278.1929872283,990055.0639261815,0,0
548278.1929872283,1040055.0639261815,0,0
