Variable,VIF
P07CHE3,319.6604255309661
P06CHE3,222.7133232997035
P09CHE3,179.4965898572571
MANMCF5,138.38387501977374
P05CHE3,123.40121254548922
PRSCHE3,84.84887731660227
P04CHE3,52.72044850988376
C06MCF5,34.51647054230769
B13CHE3,25.354139187401803
C05MCF5,24.760346821605715
C07MCF5,23.607670343968227
C03MCF5,21.564645764560517
P10CHE3,18.63869775182994
T08MOD3,17.170613062149776
C12MCF5,17.019150716311295
T09MOD3,15.82924849339867
C01MCF5,15.554080660452032
M09MOD4,15.437783728929734
M04MOD4,15.164979746360393
C04MCF5,12.790775082940986
DEMENV5,7.897661293848231
C11MCF5,7.586212261480347
EX6MOD5,2.4483120999259995
CRVMRG5,1.4871917630933897
